string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | CHECK 900 - ""إحرام المرأة في وجهها""
",000,False,000,False,False,False,1,8
"### | AUTO 899 - قول النبي -صلى الله عليه وسلم-: ""أجر الطاعم الشاكر كأجر الصائم""
",000,False,000,False,False,False,1,77
"### | AUTO 901 - قول النبي -صلى الله عليه وسلم-: ""أخنع اسم عند الله يوم القيامة: رجل تسمى بملك الأملاك""
",000,False,000,False,False,False,1,43
"### | AUTO 902 - قول النبي -صلى الله عليه وسلم-: ""أد إلى من ائتمنك""
",000,False,000,False,False,False,1,24
"### | CHECK 903 - ""إذا بلغك شيء عن أخيك فاحمله على أحسنه حتى لا تجد له محملا""
",000,False,000,False,False,False,1,82
"### | AUTO 904 - قول النبي -صلى الله عليه وسلم-: ""إذا طبخت قدرا فأكثر ماءه وأهد لجيرانك""
",000,False,000,False,False,False,1,87
"### | AUTO 905 - قول النبي -صلى الله عليه وسلم-: ""إذا لم تستحي: فاصنع ما شئت""
",000,False,000,False,False,False,1,68
"### | AUTO 906 - قول النبي -صلى الله عليه وسلم-: ""أذنت لك أن ترفع الحجاب، وتستمع سوادي، حتى أنهاك""
",000,False,000,False,False,False,1,50
"### | AUTO 907 - قول الحسن: (أرهقوا القبلة)
",000,False,000,False,False,False,1,37
"### | AUTO 908 - قول النبي -صلى الله عليه وسلم-: ""أقروا الطير على مكناتها""
",000,False,000,False,False,False,1,104
"### | AUTO 909 - قول النبي -صلى الله عليه وسلم-: ""أمرت بقرية تأكل القرى""
",000,False,000,False,False,False,1,46
"### | AUTO 910 - قول النبي -صلى الله عليه وسلم-: ""وإن أبا بكر وعمر منهم وأنعما""
",000,False,000,False,False,False,1,102
"### | AUTO 911 - قول النبي -صلى الله عليه وسلم-: ""إن إبراهيم اختتن بالقدوم""
",000,False,000,False,False,False,1,28
"### | AUTO 912 - قول النبي -صلى الله عليه وسلم-: ""إن الله عز وجل يكره عقوق الأمهات. . ""
",000,False,000,False,False,False,1,44
"### | AUTO 913 - (إن امرأتي لا تمنع يد لامس. .)
",000,False,000,False,False,False,1,59
"### | AUTO 914 - قول شعبة: (إن هذا الحديث يصدكم عن ذكر الله، وعن الصلاة)
",000,False,000,False,False,False,1,56
"### | AUTO 915 - قول جبير بن مطعم: (إن هذا من الحمس)
",000,False,000,False,False,False,1,48
"### | AUTO 916 - قول علي: (إنهما كفرسي رهان)
",000,False,000,False,False,False,1,47
"### | AUTO 917 - قول النبي -صلى الله عليه وسلم-: ""إياكم والغلو، فإنما أهلك من كان قبلكم الغلو""
",000,False,000,False,False,False,1,66
"### | AUTO 918 - قول حكيم بن حزام: (بايعت النبي -صلى الله عليه وسلم- على أن لا أخر إلا قائما)
",000,False,000,False,False,False,1,68
"### | AUTO 919 - قول النبي -صلى الله عليه وسلم-: ""البذاذة من الإيمان. . ""
",000,False,000,False,False,False,1,73
"### | AUTO 920 - قول النبي -صلى الله عليه وسلم-: ""تراصوا فإني أراكم من خلفي. . ""
",000,False,000,False,False,False,1,58
"### | AUTO 921 - قول النبي -صلى الله عليه وسلم-: ""تصدقوا ولو بفرسن شاة""
",000,False,000,False,False,False,1,27
"### | AUTO 922 - (جاء سيل في الجاهلية فكسا ما بين الجبلين)
",000,False,000,False,False,False,1,39
"### | AUTO 923 - قول النبي -صلى الله عليه وسلم-: ""الحج عرفات""
",000,False,000,False,False,False,1,193
"### | AUTO 924 - حديث النبي -صلى الله عليه وسلم- في الجوار
",000,False,000,False,False,False,1,33
"### | AUTO 925 - قول النبي -صلى الله عليه وسلم-: ""حذف السلام سنة""
",000,year,000,False,False,False,1,61
"### | AUTO 926 - قول النبي -صلى الله عليه وسلم-: ""الحلال بين، والحرام بين""
",000,False,000,False,False,False,1,292
"### | AUTO 927 - قول عمر بن الخطاب: (خدوا بحظكم من العزلة)
",000,False,000,False,False,False,1,87
"### | AUTO 928 - قول النبي -صلى الله عليه وسلم-: ""زينوا القرآن بأصواتكم""
",000,False,000,False,False,False,1,22
"### | AUTO 929 - قول عمر: (السائبة والصدقة ليومهما)
",000,False,000,False,False,False,1,34
"### | AUTO 930 - قول النبي -صلى الله عليه وسلم-: ""شر السير الحقحقة""
",000,False,000,False,False,False,1,49
"### | AUTO 931 - قول النبي -صلى الله عليه وسلم-: ""الصدقة لا تحل لغني. . ""
",000,False,000,False,False,False,1,51
"### | AUTO 932 - قول معاوية: (قصرت عن النبي -صلى الله عليه وسلم- على المروة بمشقص)
",000,False,000,False,False,False,1,154
"### | CHECK 933 - (الكالئ بالكالئ)
",000,False,000,False,False,False,1,48
"### | AUTO 934 - (كانوا لا يختلفون في الأهلة حتى قتل عثمان)
",000,False,000,False,False,False,1,31
"### | AUTO 935 - قول سفيان: (كره السلم في اللحم)
",000,False,000,False,False,False,1,53
"### | AUTO 936 - حديث ابن مسعود: (كفانا بالمعك ظلما)
",000,False,000,False,False,False,1,27
"### | AUTO 937 - قول طاوس: (كفر لا ينقل عن الملة)
",000,False,000,False,False,False,1,44
"### | AUTO 938 - قول النبي -صلى الله عليه وسلم-: ""كفى بالمرء إثما أن يضيع من يقوت""
",000,False,000,False,False,False,1,47
"### | AUTO 939 - قول النبي -صلى الله عليه وسلم-: ""كل قرض جر منفعة حرام""
",000,False,000,False,False,False,1,79
"### | AUTO 940 - قول النبي -صلى الله عليه وسلم-: ""لا إغرار في صلاة ولا تسليم""
",000,False,000,False,False,False,1,78
"### | AUTO 941 - قول النبي -صلى الله عليه وسلم-: ""لا أكف شعرا ولا ثوبا""
",000,False,000,False,False,False,1,34
"### | AUTO 942 - قول النبي -صلى الله عليه وسلم-: ""لا تجتمع قبلتان""
",000,False,000,False,False,False,1,47
"### | AUTO 943 - قول النبي -صلى الله عليه وسلم-: ""لا تجوز العوراء، ولا العجفاء. . ""
",000,False,000,False,False,False,1,38
"### | CHECK 945 - قول النبي -صلى الله عليه وسلم-: ""لا تغزي قريش بعدها؟ ""
",000,False,000,False,False,False,1,11
"### | AUTO 944 - قول النبي -صلى الله عليه وسلم-: ""لا تزال طائفة من أمتي ظاهرين على الحق. . ""
",000,False,000,False,False,False,1,97
"### | AUTO 946 - قول مسروق: (لا تنشر بزك إلا عند من يبغيه)
",000,False,000,False,False,False,1,49
"### | AUTO قول شريح: (لا حبس عن فرائض الله)
",000,False,000,False,False,False,1,501
"### | AUTO 947 - قول النبي -صلى الله عليه وسلم-: ""لا ضرر ولا ضرار""
",000,False,000,False,False,False,1,65
"### | AUTO 948 - قول النبي -صلى الله عليه وسلم-: ""لا فرع ولا عتيرة""
",000,False,000,False,False,False,1,49
"### | AUTO 949 - قول النبي -صلى الله عليه وسلم-: ""لا يبقى دينان بجزيرة العرب""
",000,False,000,False,False,False,1,61
"### | AUTO 950 - قول النبي -صلى الله عليه وسلم-: ""لا يكونن أحدكم إمعة""
",000,False,000,False,False,False,1,31
"### | AUTO 951 - قول عائشة -رضي الله عنها-: (لقست نفسي)
",000,False,000,False,False,False,1,26
"### | AUTO 952 - قول النبي -صلى الله عليه وسلم-: ""لو كان القرآن في إهاب ما مسته النار""
",000,False,000,False,False,False,1,53
"### | AUTO 953 - قول الحسن: (ليس في الطعام إسراف)
",000,False,000,False,False,False,1,28
"### | AUTO 954 - قول النبي -صلى الله عليه وسلم-: ""ما أذن الله لشيء كإذنه لنبي يتغنى بالقرآن يجهر به""
",000,False,000,False,False,False,1,40
"### | AUTO 955 - قول النبي -صلى الله عليه وسلم-: ""ما بين المشرق والمغرب قبلة""
",000,False,000,False,False,False,1,68
"### | AUTO 956 - قول إبراهيم: (ما دخر عن قوم خبئ لكم. .)
",000,False,000,False,False,False,1,35
"### | AUTO 957 - قول يهود: (محمد والخميس)
",000,False,000,False,False,False,1,24
"### | AUTO 958 - قول النبي -صلى الله عليه وسلم-: ""المرأة تموت بجمع""
",000,False,000,False,False,False,1,25
