string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,96
"### | [ص: 16]
",000,False,000,False,False,False,1,12
"### | 2 - 
",000,False,000,False,False,False,1,58
"### | : «إذا رأيتموه فصوموا , وإذا رأيتموه فأفطروا , فإن غم عليكم فاقدروا له» . , أخرجه البخاري , عن 
",000,False,000,False,False,False,1,20
"### | 3 - 
",000,False,000,False,False,False,1,44
"### | 
",000,False,000,False,False,False,1,0
"### | : «صوموا لرؤيته , وأفطروا لرؤيته , فإن غم عليكم فاقدروا له» .
",000,False,000,False,False,False,1,9
"### | 4 - 
",000,False,000,False,False,False,1,61
"### | : «صوموا لرؤيته , وأفطروا لرؤيته , فإن غم ms1 عليكم فاقدروا له» .
",000,False,000,False,False,False,1,9
"### | 5 - 
",000,False,000,False,False,False,1,50
"### | : «لا تصوموا حتى تروا الهلال , ولا تفطروا حتى تروه , فإن غم عليكم فاقدروا 
",000,False,000,False,False,False,1,14
"### | 6 - 
",000,False,000,False,False,False,1,62
"### | : «لا تصوموا حتى تروا الهلال , ولا تفطروا حتى تروا الهلال , فإن غم عليكم فاقدروا له» أخرجه 
",000,False,000,False,False,False,1,30
"### | 7 - 
",000,False,000,False,False,False,1,41
"### | : «صوموا لرؤيته , وأفطروا لرؤيته , فإن غم عليكم فاقدروا له»
",000,False,000,False,False,False,1,9
"### | 8 - 
",000,False,000,False,False,False,1,49
"### | : «الشهر تسع وعشرون , الشهر هكذا وهكذا وهكذا» - ونقص في الثالثة إبهامه مثل خمسين - «صوموا 
",000,False,000,False,False,False,1,66
"### | 9 - 
",000,False,000,False,False,False,1,55
"### | : «لا تصوموا حتى تروا الهلال , ولا تفطروا حتى تروه , فإن غم عليكم فاقدروا 
",000,False,000,False,False,False,1,14
"### | 10 - 
",000,False,000,False,False,False,1,52
"### | : «إذا رأيتم الهلال فصوموا , وإذا رأيتموه فأفطروا , فإن غم عليكم فاقدروا 
",000,False,000,False,False,False,1,12
"### | 11 - 
",000,False,000,False,False,False,1,61
"### | : «الشهر تسع وعشرون , فإذا رأيتم الهلال فصوموا , وإذا رأيتموه فأفطروا , فإن غم عليكم فاقدروا 
",000,False,000,False,False,False,1,21
"### | 12 - 
",000,False,000,False,False,False,1,45
"### | : «الشهر تسع وعشرون , فلا تصوموا حتى تروه , ولا تفطروا حتى تروه , فإن غم عليكم فاقدروا 
",000,False,000,False,False,False,1,16
"### | 13 - 
",000,False,000,False,False,False,1,93
"### | [ص: 23]
",000,False,000,False,False,False,1,53
"### | : «الشهر تسع وعشرون ليلة , فصوموا حتى تروه , ولا تفطروا حتى تروه , إلا أن يغم عليكم , فإن غم 
",000,False,000,False,False,False,1,39
"### | 14 - 
",000,False,000,False,False,False,1,45
"### | : «الشهر تسع وعشرون , لا تصوموا حتى تروه , ولا تفطروا حتى تروه , فإن أغمي عليكم فاقدروا 
",000,False,000,False,False,False,1,16
"### | 15 - 
",000,False,000,False,False,False,1,92
"### | الشهر تسع وعشرون , فلا تصوموا حتى تروه , ولا تفطروا حتى تروه , فإن أغمي عليكم فاقدروا له» 
",000,False,000,False,False,False,1,56
"### | [ص: 25]
",000,False,000,False,False,False,1,26
"### | 16 - 
",000,False,000,False,False,False,1,56
"### | : «الشهر تسع وعشرون , فلا تصوموا حتى تروه , ولا تفطروا حتى تروه , فإن غم عليكم فاقدروا له» 
",000,False,000,False,False,False,1,59
"### | 17 - 
",000,False,000,False,False,False,1,51
"### | : «الشهر تسع وعشرون» , قال: إذا رأيتم الهلال فصوموا , وإذا رأيتموه فأفطروا , فإن غم عليكم 
",000,False,000,False,False,False,1,49
"### | 18 - 
",000,False,000,False,False,False,1,38
"### | جعل الأهلة مواقيت للناس , ف
",000,False,000,False,False,False,1,10
"### | صوموا لرؤيته , وأفطروا لرؤيته , فإن غم عليكم فعدوا ثلاثين 
",000,False,000,False,False,False,1,11
"### | 19 - 
",000,False,000,False,False,False,1,55
"### | : «صوموا لرؤيته , وأفطروا لرؤيته , فإن غم عليكم فعدوا ثلاثين»
",000,False,000,False,False,False,1,9
"### | 20 - 
",000,False,000,False,False,False,1,64
"### | : «الشهر تسع وعشرون ليلة , لا تصوموا حتى تروه , ولا تفطروا حتى تروه , إلا أن يغم عليكم , فإن 
",000,False,000,False,False,False,1,21
"### | 21 - 
",000,False,000,False,False,False,1,38
"### | : «الشهر تسع وعشرون , فلا تصوموا حتى تروا الهلال , ولا تفطروا حتى تروه , فإن غم عليكم 
",000,False,000,False,False,False,1,18
"### | 22 - 
",000,False,000,False,False,False,1,68
"### | : «الشهر تسع وعشرون ليلة , فلا تصوموا حتى تروه , فإن غم عليكم فأكملوا العدة 
",000,False,000,False,False,False,1,14
"### | 23 - 
",000,False,000,False,False,False,1,52
"### | : «الشهر تسع وعشرون , فلا تصوموا حتى تروه , ولا تفطروا حتى تروه , فإن أغمي عليكم فاقدروا له 
",000,False,000,False,False,False,1,17
"### | 24 - 
",000,False,000,False,False,False,1,57
"### | : «الشهر هكذا وهكذا وهكذا» , ثم نقص رسول الله صلى الله عليه وسلم إبهامه , يعني تسعا وعشرين 
",000,False,000,False,False,False,1,25
"### | 25 - 
",000,False,000,False,False,False,1,51
"### | : «صوموا لرؤيته , وأفطروا لرؤيته , فإن غم عليكم فعدوا ثلاثين» .
",000,False,000,False,False,False,1,9
"### | 26 - 
",000,False,000,False,False,False,1,53
"### | : «إذا رأيتموه فصوموا , ثم إذا رأيتموه فأفطروا , فإن غم عليكم فاقدروا له ثلاثين 
",000,False,000,False,False,False,1,14
"### | 27 - 
",000,False,000,False,False,False,1,52
"### | : «الشهر تسع وعشرون يوما , صوموا لرؤيته , وأفطروا لرؤيته , فإن أغمي ms7 عليكم فاقدروا له 
",000,False,000,False,False,False,1,14
