string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO باب أقسام الكلام
",000,False,000,False,False,False,1,1024
"### | AUTO باب القول في اختلاف النحويين في تحديد الاسم والفعل والحرف
",000,False,000,False,False,False,1,346
"### | AUTO باب معرفة حد الاسم والفعل والحرف
",000,False,000,False,False,False,1,1465
"### | AUTO باب القول في الفعل والمصدر. أيهما مأخوذ من صاحبه
",000,False,000,False,False,False,1,1708
"### | AUTO باب القول في علل النحو
",000,False,000,False,False,False,1,600
"### | AUTO باب القول في الإعراب والكلام. أيهما أسبق
",000,False,000,False,False,False,1,479
"### | AUTO باب القول في الإعراب، لم دخل في الكلام
",000,False,000,False,False,False,1,510
"### | AUTO باب القول في الاعراب، أحركة هو أم حرف
",000,False,000,False,False,False,1,713
"### | AUTO باب القول في الإعراب، لم وقع في آخر الاسم دون أوله ووسطه
",000,False,000,False,False,False,1,235
"### | AUTO باب القول في المستحق للإعراب من هذه الأقسام الثلاثة التي هي الأسماء والأفعال والحروف
",000,False,000,False,False,False,1,972
"### | AUTO باب القول في الاسم والفعل والحرف أيها أسبق في المرتبة والتقدم
",000,False,000,False,False,False,1,245
"### | AUTO باب القول في الأفعال أيها أسبق في التقدم
",000,False,000,False,False,False,1,47
"### | AUTO باب عن فعل الحال وحقيقته
",000,False,000,False,False,False,1,336
"### | AUTO باب ذكر العلة في تسمية هذا النوع من العلم نحوا
",000,False,000,False,False,False,1,267
"### | AUTO باب الفرق بين النحو اللغة والإعراب والغريب
",000,False,000,False,False,False,1,281
"### | AUTO باب القول في معنى الرفع والنصب والجر من طريق اللغة
",000,False,000,False,False,False,1,311
"### | AUTO باب ذكر الفائدة في تعلم النحو
",000,False,000,False,False,False,1,356
"### | AUTO باب ذكر علة دخول التنوين في الكلام ووجوهه
",000,False,000,False,False,False,1,511
"### | AUTO باب ذكر علة ثقل الفعل وخفة الاسم
",000,False,000,False,False,False,1,231
"### | AUTO باب علة امتناع الأسماء من الجزم
",000,False,000,False,False,False,1,958
"### | AUTO باب ذكر علة امتناع الأفعال من الخفض
",000,False,000,False,False,False,1,2843
"### | AUTO باب القول في التثنية والجمع
",000,False,000,False,False,False,1,1757
"### | AUTO باب القول في الألف والياء والواو في التثنية والجمع أهي إعراب أم حروف إعراب؟
",000,False,000,False,False,False,1,1540
"### | AUTO مسألة في التثنية
",000,False,000,False,False,False,1,178
"### | AUTO مسألة
",000,False,000,False,False,False,1,102
