string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1- 
",000,False,000,False,False,False,1,104
"### | [ص: 22]
",000,False,000,False,False,False,1,26
"### | 2- 
",000,False,000,False,False,False,1,69
"### | [ص: 23]
",000,False,000,False,False,False,1,13
"### | 3- 
",000,False,000,False,False,False,1,76
"### | 4- 
",000,False,000,False,False,False,1,28
"### | [ص: 24]
",000,False,000,False,False,False,1,75
"### | 5- 
",000,False,000,False,False,False,1,63
"### | [ص: 26]
",000,False,000,False,False,False,1,21
"### | 6- 
",000,False,000,False,False,False,1,35
"### | [ص: 27]
",000,False,000,False,False,False,1,36
"### | [ص ms02: 28]
",000,False,000,False,False,False,1,17
"### | 7- 
",000,False,000,False,False,False,1,67
"### | [ص: 29]
",000,False,000,False,False,False,1,19
"### | 8- 
",000,False,000,False,False,False,1,54
"### | [ص: 30]
",000,False,000,False,False,False,1,25
"### | 9- 
",000,False,000,False,False,False,1,70
"### | [ص: 31]
",000,False,000,False,False,False,1,19
"### | 10- 
",000,False,000,False,False,False,1,67
"### | [ص: 32]
",000,False,000,False,False,False,1,27
"### | 11- 
",000,False,000,False,False,False,1,46
"### | [ص: 33]
",000,False,000,False,False,False,1,31
"### | 12- 
",000,False,000,False,False,False,1,84
"### | 13- 
",000,False,000,False,False,False,1,53
"### | 14- 
",000,False,000,False,False,False,1,45
"### | [ص: 35]
",000,False,000,False,False,False,1,56
"### | 15- 
",000,False,000,False,False,False,1,43
"### | 16- 
",000,False,000,False,False,False,1,23
"### | [ص: 37]
",000,False,000,False,False,False,1,68
"### | [ص: 38]
",000,False,000,False,False,False,1,17
"### | 17- 
",000,False,000,False,False,False,1,83
"### | [ص: 39]
",000,False,000,False,False,False,1,16
"### | 18- 
",000,False,000,False,False,False,1,75
"### | [ص: 40]
",000,False,000,False,False,False,1,23
"### | 19- 
",000,False,000,False,False,False,1,31
"### | [ص: 41]
",000,False,000,False,False,False,1,84
"### | 20- 
",000,False,000,False,False,False,1,83
"### | 21- 
",000,False,000,False,False,False,1,54
"### | [ص: 43]
",000,False,000,False,False,False,1,38
"### | 22- 
",000,False,000,False,False,False,1,80
"### | 23- 
",000,False,000,False,False,False,1,42
"### | [ص: 46]
",000,False,000,False,False,False,1,44
"### | 24- 
",000,False,000,False,False,False,1,55
"### | [ص: 47]
",000,False,000,False,False,False,1,40
"### | 25- 
",000,False,000,False,False,False,1,42
"### | [ص: 48]
",000,False,000,False,False,False,1,48
"### | 26- 
",000,False,000,False,False,False,1,43
"### | [ص: 49]
",000,False,000,False,False,False,1,37
"### | 27- 
",000,False,000,False,False,False,1,82
"### | 28- 
",000,False,000,False,False,False,1,59
"### | [ص: 52]
",000,False,000,False,False,False,1,37
"### | 29- 
",000,False,000,False,False,False,1,55
"### | 30- 
",000,False,000,False,False,False,1,77
"### | [ص: 54]
",000,False,000,False,False,False,1,68
"### | 31- 
",000,False,000,False,False,False,1,48
"### | [ص: 55]
",000,False,000,False,False,False,1,33
"### | 32- 
",000,False,000,False,False,False,1,75
"### | 33- 
",000,False,000,False,False,False,1,75
"### | 34- 
",000,False,000,False,False,False,1,23
"### | [ص: 57]
",000,False,000,False,False,False,1,67
"### | 35- 
",000,False,000,False,False,False,1,23
"### | [ص: 58]
",000,False,000,False,False,False,1,69
"### | [ص: 59]
",000,False,000,False,False,False,1,17
"### | 36- 
",000,False,000,False,False,False,1,97
"### | [ص: 60]
",000,False,000,False,False,False,1,46
"### | 37- 
",000,False,000,False,False,False,1,56
"### | [ص: 61]
",000,False,000,False,False,False,1,24
"### | 38- 
",000,False,000,False,False,False,1,49
"### | [ص: 62]
",000,False,000,False,False,False,1,40
"### | 39- 
",000,False,000,False,False,False,1,68
"### | 40- 
",000,False,000,False,False,False,1,37
"### | [ص: 63]
",000,False,000,False,False,False,1,81
"### | 41- 
",000,False,000,False,False,False,1,84
"### | 42- 
",000,False,000,False,False,False,1,85
"### | 43- 
",000,False,000,False,False,False,1,69
"### | [ص: 66]
",000,False,000,False,False,False,1,41
"### | 44- 
",000,False,000,False,False,False,1,30
"### | [ص: 67]
",000,False,000,False,False,False,1,56
"### | 45- 
",000,False,000,False,False,False,1,44
"### | [ص: 68]
",000,False,000,False,False,False,1,27
"### | 46- 
",000,False,000,False,False,False,1,126
"### | [ص: 69]
",000,False,000,False,False,False,1,20
"### | 47- 
",000,False,000,False,False,False,1,63
"### | [ص: 71]
",000,False,000,False,False,False,1,16
"### | 48- 
",000,False,000,False,False,False,1,99
"### | [ص: 72]
",000,False,000,False,False,False,1,24
"### | 49- 
",000,False,000,False,False,False,1,46
"### | [ص: 73]
",000,False,000,False,False,False,1,24
"### | 50- 
",000,False,000,False,False,False,1,89
"### | 51- 
",000,False,000,False,False,False,1,45
"### | [ص: 75]
",000,False,000,False,False,False,1,34
"### | 52- 
",000,False,000,False,False,False,1,30
"### | [ص: 76]
",000,False,000,False,False,False,1,75
"### | 53- 
",000,False,000,False,False,False,1,44
"### | [ص: 77]
",000,False,000,False,False,False,1,56
"### | 54- 
",000,False,000,False,False,False,1,23
"### | [ص: 78]
",000,False,000,False,False,False,1,70
"### | 55- 
",000,False,000,False,False,False,1,49
"### | [ص: 79]
",000,False,000,False,False,False,1,28
"### | 56- 
",000,False,000,False,False,False,1,48
"### | [ص: 80]
",000,False,000,False,False,False,1,16
"### | 57- 
",000,False,000,False,False,False,1,68
"### | [ص: 81]
",000,False,000,False,False,False,1,15
"### | 58- 
",000,False,000,False,False,False,1,71
"### | 59- 
",000,False,000,False,False,False,1,77
"### | [ص ms17: 83]
",000,False,000,False,False,False,1,22
"### | 60- 
",000,False,000,False,False,False,1,65
"### | [ص: 84]
",000,False,000,False,False,False,1,15
"### | 61- 
",000,False,000,False,False,False,1,50
"### | [ص: 85]
",000,False,000,False,False,False,1,73
"### | 62- 
",000,False,000,False,False,False,1,81
"### | 63- 
",000,False,000,False,False,False,1,133
"### | [ص: 88]
",000,False,000,False,False,False,1,19
"### | 64- 
",000,False,000,False,False,False,1,40
"### | [ص: 89]
",000,False,000,False,False,False,1,20
"### | 65- 
",000,False,000,False,False,False,1,56
"### | [ص: 91]
",000,False,000,False,False,False,1,52
"### | 66- 
",000,False,000,False,False,False,1,59
"### | [ص: 92]
",000,False,000,False,False,False,1,29
"### | 67- 
",000,False,000,False,False,False,1,73
"### | 68- 
",000,False,000,False,False,False,1,71
"### | [ص: 94]
",000,False,000,False,False,False,1,15
"### | 69- 
",000,False,000,False,False,False,1,64
"### | 70- 
",000,False,000,False,False,False,1,72
"### | 71- 
",000,False,000,False,False,False,1,29
"### | [ص: 96]
",000,False,000,False,False,False,1,64
"### | 72- 
",000,False,000,False,False,False,1,60
"### | [ص: 97]
",000,False,000,False,False,False,1,23
"### | 73- 
",000,False,000,False,False,False,1,70
"### | 74- 
",000,False,000,False,False,False,1,87
"### | 75- 
",000,False,000,False,False,False,1,70
"### | [ص: 99]
",000,False,000,False,False,False,1,50
"### | 76- 
",000,False,000,False,False,False,1,74
"### | 77- 
",000,False,000,False,False,False,1,158
"### | 78- 
",000,False,000,False,False,False,1,138
"### | [ص: 102]
",000,False,000,False,False,False,1,17
"### | 79- 
",000,False,000,False,False,False,1,65
"### | 80- 
",000,False,000,False,False,False,1,30
"### | [ص: 103]
",000,False,000,False,False,False,1,53
"### | 81- 
",000,False,000,False,False,False,1,75
"### | 82- 
",000,False,000,False,False,False,1,36
"### | [ص: 104]
",000,False,000,False,False,False,1,48
"### | 83- 
",000,False,000,False,False,False,1,44
"### | [ص: 105]
",000,False,000,False,False,False,1,23
"### | 84- 
",000,False,000,False,False,False,1,47
"### | 85- 
",000,False,000,False,False,False,1,126
"### | 86- 
",000,False,000,False,False,False,1,80
"### | 87- 
",000,False,000,False,False,False,1,90
"### | 88- 
",000,False,000,False,False,False,1,46
"### | [ص: 109]
",000,False,000,False,False,False,1,27
"### | 89- 
",000,False,000,False,False,False,1,44
"### | 90- 
",000,False,000,False,False,False,1,56
"### | 91- 
",000,False,000,False,False,False,1,55
"### | [ص: 111]
",000,False,000,False,False,False,1,41
"### | 92- 
",000,False,000,False,False,False,1,55
"### | [ص: 112]
",000,False,000,False,False,False,1,23
"### | 93- 
",000,False,000,False,False,False,1,80
"### | [ص: 113]
",000,False,000,False,False,False,1,27
