string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | في الأسماء وفيه فصول يشتمل كل منها على مسائل
",000,False,000,False,False,False,1,535
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,276
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,224
"### | مسألة
",000,False,000,False,False,False,1,258
"### | فصل في المضمرات
",000,False,000,False,False,False,1,6
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,113
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,248
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,78
"### | مسألة
",000,False,000,False,False,False,1,117
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,121
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,72
"### | مسألة
",000,False,000,False,False,False,1,92
"### | فصل في الموصولات
",000,False,000,False,False,False,1,6
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,465
"### | مسألة
",000,False,000,False,False,False,1,193
"### | فصل في المعرف بالأداة
",000,False,000,False,False,False,1,8
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,166
"### | مسألة
",000,False,000,False,False,False,1,795
"### | المسألة الثامنة من مسائل القاعدة
",000,False,000,False,False,False,1,67
"### | المسألة التاسعة
",000,False,000,False,False,False,1,63
"### | المسألة العاشرة
",000,False,000,False,False,False,1,19
"### | المسألة الحادية عشرة
",000,False,000,False,False,False,1,57
"### | المسألة الثانية عشرة
",000,False,000,False,False,False,1,121
"### | المسألة الثالثة عشرة
",000,False,000,False,False,False,1,51
"### | المسألة الرابعة عشرة
",000,False,000,False,False,False,1,104
"### | المسألة الخامسة عشرة
",000,False,000,False,False,False,1,741
"### | فصل في المشتقات
",000,False,000,False,False,False,1,6
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,1094
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,137
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,60
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,119
"### | مسألة
",000,False,000,False,False,False,1,261
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,197
"### | مسألة
",000,False,000,False,False,False,1,327
"### | فصل في المصدر
",000,False,000,False,False,False,1,6
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,147
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,267
"### | مسألة
",000,False,000,False,False,False,1,51
"### | فصل في الظروف
",000,False,000,False,False,False,1,6
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,420
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,299
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,268
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,150
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,118
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,192
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,115
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,104
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,141
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,180
"### | 
",000,False,000,False,False,False,1,0
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,254
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,129
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,151
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,103
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,158
"### | مسألة
",000,False,000,False,False,False,1,159
"### | فصل في ألفاظ متفرقة
",000,False,000,False,False,False,1,8
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,407
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,104
"### | مسألة
",000,False,000,False,False,False,1,284
"### | فصل في التثنية والجمع
",000,False,000,False,False,False,1,8
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,202
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,94
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,378
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,160
"### | مسألة
",000,False,000,False,False,False,1,873
"### | فصل في الألفاظ الوقعة في العدد وفيه مسائل
",000,False,000,False,False,False,1,653
"### | مسألة
",000,False,000,False,False,False,1,43
"### | مسألة
",000,False,000,False,False,False,1,59
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة 
",000,False,000,False,False,False,1,106
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,514
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,194
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,36
"### | مسألة
",000,False,000,False,False,False,1,325
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,211
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,263
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,106
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,160
"### | مسألة
",000,False,000,False,False,False,1,101
"### | فصل في حروف الجر
",000,False,000,False,False,False,1,8
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,83
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,202
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,80
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,124
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,70
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,262
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,142
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,211
"### | مسألة
",000,False,000,False,False,False,1,586
"### | فصل في النواصب للفعل
",000,False,000,False,False,False,1,8
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,128
"### | مسألة
",000,False,000,False,False,False,1,76
"### | فصل في حروف العطف
",000,False,000,False,False,False,1,8
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,173
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,528
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,377
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,156
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,49
"### | مسألة
",000,False,000,False,False,False,1,230
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,313
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,324
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,91
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,234
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,108
"### | فصل في لو ولولا
",000,False,000,False,False,False,1,8
"### | مسألة
",000,False,000,False,False,False,1,110
"### | مسألة
",000,False,000,False,False,False,1,114
"### | فصل في تاء التأنيث
",000,False,000,False,False,False,1,8
"### | مسألة 
",000,False,000,False,False,False,1,53
"### | مسألة
",000,False,000,False,False,False,1,98
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,77
"### | مسألة
",000,False,000,False,False,False,1,87
"### | فصل
",000,False,000,False,False,False,1,291
"### | فصل في حروف متفرقة
",000,False,000,False,False,False,1,8
"### | مسألة 
",000,False,000,False,False,False,1,466
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,121
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,192
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,104
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,88
"### | مسألة
",000,False,000,False,False,False,1,224
"### | فصل في الاستثناء
",000,False,000,False,False,False,1,6
"### | مسألة 
",000,False,000,False,False,False,1,104
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,157
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,91
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,81
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,256
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,221
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,89
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,165
"### | مسألة
",000,False,000,False,False,False,1,99
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,205
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,181
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,80
"### | مسألة
",000,False,000,False,False,False,1,172
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,116
"### | مسألة
",000,False,000,False,False,False,1,529
"### | فصل في الحال
",000,False,000,False,False,False,1,6
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,237
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,211
"### | مسألة
",000,False,000,False,False,False,1,141
"### | فصل في العدد
",000,False,000,False,False,False,1,6
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,171
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,104
"### | مسألة
",000,False,000,False,False,False,1,188
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,76
"### | مسألة
",000,False,000,False,False,False,1,66
"### | فصل في القسم
",000,False,000,False,False,False,1,6
"### | مسألة
",000,False,000,False,False,False,1,158
"### | فصل في العطف
",000,False,000,False,False,False,1,6
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,232
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,141
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,429
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,92
"### | مسألة
",000,False,000,False,False,False,1,300
"### | فصل في النعت
",000,False,000,False,False,False,1,6
"### | مسألة
",000,False,000,False,False,False,1,79
"### | مسألة
",000,False,000,False,False,False,1,72
"### | فصل في التوكيد
",000,False,000,False,False,False,1,6
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,233
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,180
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,88
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,100
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,90
"### | مسألة
",000,False,000,False,False,False,1,266
"### | فصل في البدل
",000,False,000,False,False,False,1,45
"### | مسألة 
",000,False,000,False,False,False,1,333
"### | مسألة
",000,False,000,False,False,False,1,219
"### | فصل في الشرط والجزاء
",000,False,000,False,False,False,1,8
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,338
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,178
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,77
"### | مسألة
",000,False,000,False,False,False,1,316
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,516
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,90
"### | مسألة
",000,False,000,False,False,False,1,397
"### | مسألة
",000,False,000,False,False,False,1,60
"### | فصل في مسائل متفرقة
",000,False,000,False,False,False,1,8
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,79
"### | مسألة
",000,False,000,False,False,False,1,30
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,76
"### | مسألة
",000,False,000,False,False,False,1,73
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,41
"### | مسألة
",000,False,000,False,False,False,1,151
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,115
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,168
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,347
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,229
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,215
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,627
"### | 
",000,False,000,False,False,False,1,0
"### | مسألة
",000,False,000,False,False,False,1,101
"### | مسألة
",000,False,000,False,False,False,1,310
