string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1 - 
",000,False,000,False,False,False,1,26
"### | [حكم الألباني]
",000,False,000,False,False,False,1,79
"### | 2 - 
",000,False,000,False,False,False,1,31
"### | [حكم الألباني]
",000,False,000,False,False,False,1,337
"### | 3 - 
",000,False,000,False,False,False,1,28
"### | [حكم الألباني]
",000,False,000,False,False,False,1,89
"### | 4 - 
",000,False,000,False,False,False,1,237
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 5 - 
",000,False,000,False,False,False,1,30
"### | [حكم الألباني]
",000,False,000,False,False,False,1,19
"### | 6 - 
",000,False,000,False,False,False,1,34
"### | [حكم الألباني]
",000,False,000,False,False,False,1,654
"### | 7 - 
",000,False,000,False,False,False,1,21
"### | [حكم الألباني]
",000,False,000,False,False,False,1,19
"### | 8 - 
",000,False,000,False,False,False,1,30
"### | [حكم الألباني]
",000,False,000,False,False,False,1,7
"### | 9 - 
",000,False,000,False,False,False,1,35
"### | [حكم الألباني]
",000,False,000,False,False,False,1,127
"### | 10 - 
",000,False,000,False,False,False,1,54
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 11 - 
",000,False,000,False,False,False,1,38
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 12 - 
",000,False,000,False,False,False,1,41
"### | [حكم الألباني]
",000,False,000,False,False,False,1,153
"### | 13 - 
",000,False,000,False,False,False,1,25
"### | [حكم الألباني]
",000,False,000,False,False,False,1,164
"### | 14 - 
",000,False,000,False,False,False,1,15
"### | [حكم الألباني]
",000,False,000,False,False,False,1,130
"### | 15 - 
",000,False,000,False,False,False,1,19
"### | [حكم الألباني]
",000,False,000,False,False,False,1,62
"### | 16 - 
",000,False,000,False,False,False,1,25
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 17 - 
",000,False,000,False,False,False,1,33
"### | [حكم الألباني]
",000,False,000,False,False,False,1,82
"### | 18 - 
",000,False,000,False,False,False,1,22
"### | [حكم الألباني]
",000,False,000,False,False,False,1,45
"### | 19 - 
",000,False,000,False,False,False,1,21
"### | [حكم الألباني]
",000,False,000,False,False,False,1,17
"### | 20 - 
",000,False,000,False,False,False,1,13
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 21 - 
",000,False,000,False,False,False,1,16
"### | [حكم الألباني]
",000,False,000,False,False,False,1,17
"### | 22 - 
",000,False,000,False,False,False,1,20
"### | [حكم الألباني]
",000,False,000,False,False,False,1,15
"### | 23 - 
",000,False,000,False,False,False,1,20
"### | [حكم الألباني]
",000,False,000,False,False,False,1,241
"### | 24 - 
",000,False,000,False,False,False,1,16
"### | [حكم الألباني]
",000,False,000,False,False,False,1,427
"### | 25 - 
",000,False,000,False,False,False,1,28
"### | [حكم الألباني]
",000,False,000,False,False,False,1,375
"### | 26 - 
",000,False,000,False,False,False,1,72
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 27 - 
",000,False,000,False,False,False,1,14
"### | [حكم الألباني]
",000,False,000,False,False,False,1,14
"### | 28 - 
",000,False,000,False,False,False,1,29
"### | [حكم الألباني]
",000,False,000,False,False,False,1,166
"### | 29 - 
",000,False,000,False,False,False,1,23
"### | [حكم الألباني]
",000,False,000,False,False,False,1,16
"### | 30 - 
",000,False,000,False,False,False,1,43
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 31 - 
",000,False,000,False,False,False,1,13
"### | [حكم الألباني]
",000,False,000,False,False,False,1,190
"### | 32 - 
",000,False,000,False,False,False,1,31
"### | [حكم الألباني]
",000,False,000,False,False,False,1,227
"### | 33 - 
",000,False,000,False,False,False,1,23
"### | [حكم الألباني]
",000,False,000,False,False,False,1,16
"### | 34 - 
",000,False,000,False,False,False,1,28
"### | [حكم الألباني]
",000,False,000,False,False,False,1,195
"### | 35 - 
",000,False,000,False,False,False,1,26
"### | [حكم الألباني]
",000,False,000,False,False,False,1,179
"### | 36 - 
",000,False,000,False,False,False,1,32
"### | [حكم الألباني]
",000,False,000,False,False,False,1,146
"### | 37 - 
",000,False,000,False,False,False,1,22
"### | [حكم الألباني]
",000,False,000,False,False,False,1,350
"### | 38 - 
",000,False,000,False,False,False,1,13
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 39 - 
",000,False,000,False,False,False,1,19
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 40 - 
",000,False,000,False,False,False,1,28
"### | [حكم الألباني]
",000,False,000,False,False,False,1,42
"### | 41 - 
",000,False,000,False,False,False,1,23
"### | [حكم الألباني]
",000,False,000,False,False,False,1,238
"### | 42 - 
",000,False,000,False,False,False,1,42
"### | [حكم الألباني]
",000,False,000,False,False,False,1,408
"### | 43 - 
",000,False,000,False,False,False,1,29
"### | [حكم الألباني]
",000,False,000,False,False,False,1,163
"### | 44 - 
",000,False,000,False,False,False,1,16
"### | [حكم الألباني]
",000,False,000,False,False,False,1,14
"### | 45 - 
",000,False,000,False,False,False,1,22
"### | [حكم الألباني]
",000,False,000,False,False,False,1,179
"### | 46 - 
",000,False,000,False,False,False,1,21
"### | [حكم الألباني]
",000,False,000,False,False,False,1,16
"### | 47 - 
",000,False,000,False,False,False,1,26
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 48 - 
",000,False,000,False,False,False,1,22
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 49 - 
",000,False,000,False,False,False,1,18
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 50 - 
",000,False,000,False,False,False,1,65
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 51 - 
",000,False,000,False,False,False,1,36
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 52 - 
",000,False,000,False,False,False,1,19
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 53 - 
",000,False,000,False,False,False,1,30
"### | [حكم ms0023 الألباني]
",000,False,000,False,False,False,1,12
"### | 54 - 
",000,False,000,False,False,False,1,23
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 55 - 
",000,False,000,False,False,False,1,44
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 56 - 
",000,False,000,False,False,False,1,45
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 57 - 
",000,False,000,False,False,False,1,39
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 58 - 
",000,False,000,False,False,False,1,28
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 59 - 
",000,False,000,False,False,False,1,128
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 60 - 
",000,False,000,False,False,False,1,32
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 61 - 
",000,False,000,False,False,False,1,27
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 62 - 
",000,False,000,False,False,False,1,31
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 63 - 
",000,False,000,False,False,False,1,19
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 64 - 
",000,False,000,False,False,False,1,32
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 65 - 
",000,False,000,False,False,False,1,100
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 66 - 
",000,False,000,False,False,False,1,53
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 67 - 
",000,False,000,False,False,False,1,34
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 68 - 
",000,False,000,False,False,False,1,65
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 69 - 
",000,False,000,False,False,False,1,46
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 70 - 
",000,False,000,False,False,False,1,56
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 71 - 
",000,False,000,False,False,False,1,53
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 72 - 
",000,False,000,False,False,False,1,34
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 73 - 
",000,False,000,False,False,False,1,59
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 74 - 
",000,False,000,False,False,False,1,76
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 75 - 
",000,False,000,False,False,False,1,60
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 76 - 
",000,False,000,False,False,False,1,41
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 77 - 
",000,False,000,False,False,False,1,68
"### | [حكم الألباني]
",000,False,000,False,False,False,1,12
"### | 78 - 
",000,False,000,False,False,False,1,65
