string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,8
"### | كتاب الخيل
",000,False,000,False,False,False,1,784
"### | العرق
",000,False,000,False,False,False,1,848
"### | باب اضطرام العدو وحفيفه
",000,False,000,False,False,False,1,438
"### | باب في وثبها
",000,False,000,False,False,False,1,588
"### | في لحوق الخيل بالصيد
",000,False,000,False,False,False,1,508
"### | باب الميل في أحد الشقين في مشيها وجريها
",000,False,000,False,False,False,1,362
"### | باب جريها ومشيها
",000,False,000,False,False,False,1,336
"### | ما يشبه به مشيها وجريها
",000,False,000,False,False,False,1,446
"### | باب التشبيه بالعقاب
",000,False,000,False,False,False,1,114
"### | باب التشبيه بالبازي
",000,False,000,False,False,False,1,81
"### | باب التشبيه بالصقر
",000,False,000,False,False,False,1,103
"### | باب التشبيه بالنعامة
",000,False,000,False,False,False,1,41
"### | باب التشبيه بالوعل والظبي
",000,False,000,False,False,False,1,224
"### | باب التشبيه بالطير
",000,False,000,False,False,False,1,47
"### | باب التشبيه بالرشا
",000,False,000,False,False,False,1,158
"### | باب التشبيه بالسهم
",000,False,000,False,False,False,1,126
"### | باب التشبيه بالخذروف
",000,False,000,False,False,False,1,34
"### | باب التشبيه بالحجر
",000,False,000,False,False,False,1,21
"### | التشبيه بالجرادة
",000,False,000,False,False,False,1,66
"### | التشبيه بالكلاب
",000,False,000,False,False,False,1,55
"### | التشبيه بالثور
",000,False,000,False,False,False,1,57
"### | التشبيه بالناس
",000,False,000,False,False,False,1,310
"### | باب التشبيه في خلقه بالعصا
",000,False,000,False,False,False,1,116
"### | باب التشبيه بالدلو
",000,False,000,False,False,False,1,81
"### | باب التشبيه بالحسى
",000,False,000,False,False,False,1,60
"### | باب التشبيه بالماء والسيل
",000,False,000,False,False,False,1,65
"### | ما تشبه به جماعات الخيل
",000,False,000,False,False,False,1,272
"### | ما يشبه به حدة نفسه ونزقه ونبض فؤاده
",000,False,000,False,False,False,1,415
"### | التشبيه باهتزاز الرمح
",000,False,000,False,False,False,1,146
"### | ما يشبه به بعد الإضمار
",000,False,000,False,False,False,1,216
"### | ما يشبه من صغارها ومهازيلها
",000,False,000,False,False,False,1,206
"### | ما يشبه به الغبار الذي تثير بحوافرها
",000,False,000,False,False,False,1,14
"### | والحصا الذي تنجله بأرجلها وما تستخرجه من الفار
",000,False,000,False,False,False,1,194
"### | في القنص
",000,False,000,False,False,False,1,1353
"### | باب في السباق عليها
",000,False,000,False,False,False,1,631
"### | باب حثها بالأعقاب والسياط
",000,False,000,False,False,False,1,382
"### | باب في القيام عليها وإضمارها
",000,False,000,False,False,False,1,10
"### | وسقيها باللبن
",000,False,000,False,False,False,1,1656
"### | باب في مغازيهم
",000,False,000,False,False,False,1,1176
"### | سقوط الذباب من صهيل الفرس
",000,False,000,False,False,False,1,125
"### | أعلام الجواد من الخيل
",000,False,000,False,False,False,1,828
"### | مما يوصف به أعضاؤها
",000,False,000,False,False,False,1,8
"### | الأذن وما يحمد من رقتها وانتصابها
",000,False,000,False,False,False,1,271
"### | الناصية وما يحمد من سبوغها
",000,False,000,False,False,False,1,277
"### | باب ms048 الخد وما يحمد وما يحمد منه أسالته وملاسته ورقته
",000,False,000,False,False,False,1,174
"### | مما توصف به في وجوهها
",000,False,000,False,False,False,1,98
"### | العين وما توصف به
",000,False,000,False,False,False,1,203
"### | المنخر وما يحمد من سعته
",000,False,000,False,False,False,1,174
"### | الأفواه وما يحمد من هرتها والأسنان
",000,False,000,False,False,False,1,357
"### | العنق وما يحمد من طولها
",000,False,000,False,False,False,1,589
"### | الكتفان وما يحمد من ارتفاعهما
",000,False,000,False,False,False,1,305
"### | الصدر وما يحمد منه
",000,False,000,False,False,False,1,528
"### | الجنبان والجوف وما يحمد من إجفاره وانطواء الكشح
",000,False,000,False,False,False,1,768
"### | الظهر والقطاة والمتن وما يوصف به
",000,False,000,False,False,False,1,532
"### | الذنب وما يوصف به
",000,False,000,False,False,False,1,311
"### | العجز والفخذان
",000,False,000,False,False,False,1,593
"### | القوائم
",000,False,000,False,False,False,1,959
"### | الأرساغ وما يحمد من يبسها وغلظها
",000,False,000,False,False,False,1,259
"### | الحوافر وما توصف به
",000,False,000,False,False,False,1,678
"### | تم الخلق
",000,False,000,False,False,False,1,1285
"### | الجزء الثاني
",000,False,000,False,False,False,1,4
"### | كتاب السباع
",000,False,000,False,False,False,1,38
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,8
"### | وبه معونتي وعليه توكلي
",000,False,000,False,False,False,1,8
"### | أبيات المعاني في وصف الذئب
",000,False,000,False,False,False,1,3975
"### | الأبيات في الأرانب
",000,False,000,False,False,False,1,296
"### | أبيات المعاني في الضبع
",000,False,000,False,False,False,1,976
"### | أبيات المعاني في الكلاب
",000,False,000,False,False,False,1,2940
"### | أبيات المعاني في الأسد
",000,False,000,False,False,False,1,1793
"### | أبيات المعاني في الغراب
",000,False,000,False,False,False,1,816
"### | الأبيات في التطير من الغربان
",000,False,000,False,False,False,1,10
"### | وغيرها
",000,False,000,False,False,False,1,589
"### | الأبيات في سائر ما يتطير منه وما يستدفع به
",000,False,000,False,False,False,1,1172
"### | الأبيات في العقاب
",000,False,000,False,False,False,1,698
"### | الأبيات في النسر
",000,False,000,False,False,False,1,290
"### | الأبيات في البازي والصقر
",000,False,000,False,False,False,1,546
"### | الأبيات في الرخم
",000,False,000,False,False,False,1,358
"### | الأبيات في الحباري
",000,False,000,False,False,False,1,350
"### | الأبيات في المكاء
",000,False,000,False,False,False,1,161
"### | الأبيات في الحمام وغيرها من الطير
",000,False,000,False,False,False,1,1117
"### | أبيات المعاني في القطا
",000,False,000,False,False,False,1,3002
"### | الأبيات في النعام
",000,False,000,False,False,False,1,4980
"### | الثالث من كتاب المعاني لابن قتيبة وهو
",000,False,000,False,False,False,1,14
"### | كتاب الطعام والضيافة
",000,False,000,False,False,False,1,6
"### | بسم الله الرحمن الرحيم وبه الثقة والمعونة
",000,False,000,False,False,False,1,14
"### | أبيات معان في القدور
",000,False,000,False,False,False,1,1199
"### | أبيات معان في الجفان
",000,False,000,False,False,False,1,349
"### | معان في الطعام والضيافة
",000,False,000,False,False,False,1,1730
"### | العقر للأضياف
",000,False,000,False,False,False,1,847
"### | القرى باللبن
",000,False,000,False,False,False,1,1032
"### | الإبل ms174 المحبوسة على الأضياف
",000,False,000,False,False,False,1,215
"### | المواضع التي ينزلها المضيفون
",000,False,000,False,False,False,1,174
"### | باب شدة الزمان والجدب
",000,False,000,False,False,False,1,1651
"### | طعام الفقراء في الجدب
",000,False,000,False,False,False,1,303
"### | العواذل
",000,False,000,False,False,False,1,436
"### | أبيات في ذكر النار
",000,False,000,False,False,False,1,782
"### | الأبيات في ذكر الخمر وآلاتها
",000,False,000,False,False,False,1,3422
"### | البربط
",000,False,000,False,False,False,1,712
"### | أبيات في ذكر الملوك والسادة
",000,False,000,False,False,False,1,588
"### | ثياب الملوك وغيرهم وما يكنى عنه بالثياب
",000,False,000,False,False,False,1,988
"### | النعال
",000,False,000,False,False,False,1,724
"### | أبيات معان في الجد والغنى والفقر
",000,False,000,False,False,False,1,526
"### | ........ 
",000,False,000,False,False,False,1,534
"### | أبيات معان في القرابة والصهر والنسب
",000,False,000,False,False,False,1,12
"### | والنكاح والفرج والولاد
",000,False,000,False,False,False,1,780
"### | .... 
",000,False,000,False,False,False,1,417
"### | ....... 
",000,False,000,False,False,False,1,2737
"### | أبيات معان في المدح
",000,False,000,False,False,False,1,3030
"### | باب الهجاء وهجاء النساء
",000,False,000,False,False,False,1,2517
"### | ....... 
",000,False,000,False,False,False,1,2873
"### | كتاب الذباب والبعوض
",000,False,000,False,False,False,1,34
"### | الأبيات في الذباب
",000,False,000,False,False,False,1,948
"### | الأبيات في الجراد
",000,False,000,False,False,False,1,629
"### | الأبيات في النحل والعسل
",000,False,000,False,False,False,1,1811
"### | الأبيات في الجعل
",000,False,000,False,False,False,1,204
"### | الأبيات في القراد
",000,False,000,False,False,False,1,514
"### | الأبيات في العنكبوت
",000,False,000,False,False,False,1,326
"### | الأبيات في النمل
",000,False,000,False,False,False,1,331
"### | باب الحيتان والضفادع
",000,False,000,False,False,False,1,497
"### | الأبيات في الضب
",000,False,000,False,False,False,1,1170
"### | الأبيات في الظربان
",000,False,000,False,False,False,1,211
"### | الأبيات في اليربوع
",000,False,000,False,False,False,1,217
"### | الأبيات في القنفذ
",000,False,000,False,False,False,1,157
"### | الأبيات في الجرذان والفأر
",000,False,000,False,False,False,1,213
"### | الأبيات في الحرباء
",000,False,000,False,False,False,1,519
"### | الأبيات في الحية
",000,False,000,False,False,False,1,1783
"### | الأبيات في العقارب
",000,False,000,False,False,False,1,171
"### | الأبيات في ضروب من الهوام
",000,False,000,False,False,False,1,612
"### | الأبيات في الشاء والمعز
",000,False,000,False,False,False,1,1686
"### | الأبيات في الظباء والبقر
",000,False,000,False,False,False,1,5020
"### | الثور
",000,False,000,False,False,False,1,5818
"### | الصائد والحبالة والقترة
",000,False,000,False,False,False,1,1415
"### | الأبيات في الكناس
",000,False,000,False,False,False,1,336
"### | دخول الظباء الكنس في الحر
",000,False,000,False,False,False,1,337
"### | الجزء الخامس من كتاب المعاني
",000,False,000,False,False,False,1,10
"### | كتاب الوعيد والبيان والخطابة
",000,False,000,False,False,False,1,6
"### | الأبيات في الوعيد
",000,False,000,False,False,False,1,9
"### | في الدعاء بالشر واليمن
",000,False,000,False,False,False,1,12
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,4960
"### | في الدعاء بالشر واليمن
",000,False,000,False,False,False,1,632
"### | الأيمان
",000,False,000,False,False,False,1,2762
"### | الداهية والخطة
",000,False,000,False,False,False,1,2374
"### | القيد والغل
",000,False,000,False,False,False,1,378
"### | الجزء السادس من كتاب المعاني الكبير
",000,False,000,False,False,False,1,12
"### | كتاب الحرب
",000,False,000,False,False,False,1,4
"### | الأبيات في الحرب
",000,False,000,False,False,False,1,12710
"### | في الطعنة والشجة والضربة
",000,False,000,False,False,False,1,4120
"### | باب المعاني في الديات
",000,False,000,False,False,False,1,1725
"### | باب ms440 في الثأو
",000,False,000,False,False,False,1,1838
"### | البيض والدروع
",000,False,000,False,False,False,1,1205
"### | باب القسي والسهام
",000,False,000,False,False,False,1,4290
"### | باب السيوف
",000,False,000,False,False,False,1,2433
"### | باب في الرمح
",000,False,000,False,False,False,1,1727
"### | باب الترس والمنجنيق
",000,False,000,False,False,False,1,458
"### | باب الجوار والحلف والإغاثة
",000,False,000,False,False,False,1,2475
"### | باب في العداوة والبغضاء والحقد والظلم
",000,False,000,False,False,False,1,2800
"### | السابع من كتاب المعاني
",000,False,000,False,False,False,1,8
"### | كتاب الميسر
",000,False,000,False,False,False,1,4
"### | الأبيات في الميسر
",000,False,000,False,False,False,1,3653
"### | باب المعاني في وصف الشعر والشعراء
",000,False,000,False,False,False,1,609
"### | أبيات المعاني في التطير والفأل
",000,False,000,False,False,False,1,1002
"### | أبيات المعاني في وصف الآثار وتشبيهها
",000,False,000,False,False,False,1,1410
"### | أبيات المعاني في المراثي
",000,False,000,False,False,False,1,1890
"### | أبيات المعاني في الشيب والكبر
",000,False,000,False,False,False,1,1358
"### | .... 
",000,False,000,False,False,False,1,1223
"### | أبيات المعاني في الآداب
",000,False,000,False,False,False,1,2842
"### | الأبيات في مكارم الأخلاق
",000,False,000,False,False,False,1,2413
"### | ..... 
",000,False,000,False,False,False,1,111
"### | .... 
",000,False,000,False,False,False,1,20
"### | ..... 
",000,False,000,False,False,False,1,29
