string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [مقدمة المؤلف]
",000,False,000,False,False,False,1,299
"### | المقالة الأولى في تقديم المعرفة وفضل صناعة الطب
",000,False,000,False,False,False,1,16
"### | [1] باب ما جاء في تعلم الطب والحث عليه
",000,False,000,False,False,False,1,23
"### | 1- 
",000,False,000,False,False,False,1,66
"### | [ص: 174]
",000,False,000,False,False,False,1,9
"### | 2- 
",000,False,000,False,False,False,1,93
"### | [ص: 175]
",000,False,000,False,False,False,1,56
"### | 3- 
",000,False,000,False,False,False,1,57
"### | [ص ms002: 176]
",000,False,000,False,False,False,1,8
"### | 4- 
",000,False,000,False,False,False,1,49
"### | 5- 
",000,False,000,False,False,False,1,65
"### | 6- 
",000,False,000,False,False,False,1,94
"### | 7- 
",000,False,000,False,False,False,1,60
"### | 8- 
",000,False,000,False,False,False,1,45
"### | [ص: 178]
",000,False,000,False,False,False,1,55
"### | 9- 
",000,False,000,False,False,False,1,46
"### | 10- 
",000,False,000,False,False,False,1,72
"### | 11- 
",000,False,000,False,False,False,1,68
"### | 12- 
",000,False,000,False,False,False,1,66
"### | 13- 
",000,False,000,False,False,False,1,42
"### | [ص: 180]
",000,False,000,False,False,False,1,29
"### | 14- 
",000,False,000,False,False,False,1,60
"### | 15- 
",000,False,000,False,False,False,1,53
"### | 16- 
",000,False,000,False,False,False,1,57
"### | 17- 
",000,False,000,False,False,False,1,48
"### | [ص: 182]
",000,False,000,False,False,False,1,18
"### | 18- 
",000,False,000,False,False,False,1,103
"### | 19- 
",000,False,000,False,False,False,1,47
"### | [ص: 183]
",000,False,000,False,False,False,1,15
"### | 20- 
",000,False,000,False,False,False,1,50
"### | 21- 
",000,False,000,False,False,False,1,43
"### | 22- 
",000,False,000,False,False,False,1,25
"### | [ص: 184]
",000,False,000,False,False,False,1,41
"### | 23- 
",000,False,000,False,False,False,1,62
"### | 24- 
",000,False,000,False,False,False,1,45
"### | [ص: 185]
",000,False,000,False,False,False,1,21
"### | 25- 
",000,False,000,False,False,False,1,50
"### | 26- 
",000,False,000,False,False,False,1,91
"### | [2] باب في إحضار الأطباء لمداواة المرضى
",000,False,000,False,False,False,1,14
"### | 27- 
",000,False,000,False,False,False,1,36
"### | 28- 
",000,False,000,False,False,False,1,54
"### | 29- 
",000,False,000,False,False,False,1,64
"### | 30- 
",000,False,000,False,False,False,1,35
"### | [ص: 188]
",000,False,000,False,False,False,1,19
"### | 31- 
",000,False,000,False,False,False,1,86
"### | 32- 
",000,False,000,False,False,False,1,64
"### | [ص: 189]
",000,False,000,False,False,False,1,44
"### | 33- 
",000,False,000,False,False,False,1,60
"### | 34- 
",000,False,000,False,False,False,1,59
"### | 35- 
",000,False,000,False,False,False,1,78
"### | 36- 
",000,False,000,False,False,False,1,56
"### | [ص: 191]
",000,False,000,False,False,False,1,18
"### | [3] باب في معرفة الأمراض بالجس
",000,False,000,False,False,False,1,12
"### | 37- 
",000,False,000,False,False,False,1,54
"### | 38- 
",000,False,000,False,False,False,1,52
"### | [4] باب في تقديم المعرفة في صناعة الطب
",000,False,000,False,False,False,1,16
"### | 39- 
",000,False,000,False,False,False,1,50
"### | 40- 
",000,False,000,False,False,False,1,53
"### | 41- 
",000,False,000,False,False,False,1,40
"### | [ص: 194]
",000,False,000,False,False,False,1,45
"### | 42- 
",000,False,000,False,False,False,1,58
"### | 43- 
",000,False,000,False,False,False,1,59
"### | 44- 
",000,False,000,False,False,False,1,139
"### | [ص: 196]
",000,False,000,False,False,False,1,66
"### | [5] باب في إباحة مداواة النساء الرجال غير ذوات المحارم والرجال النساء
",000,False,000,False,False,False,1,24
"### | 45- 
",000,False,000,False,False,False,1,46
"### | [ص: 197]
",000,False,000,False,False,False,1,14
"### | 46- 
",000,False,000,False,False,False,1,41
"### | 47- 
",000,False,000,False,False,False,1,41
"### | [6] باب الأمر بالتداوي
",000,False,000,False,False,False,1,8
"### | 48- 
",000,False,000,False,False,False,1,50
"### | 49- 
",000,False,000,False,False,False,1,51
"### | 50- 
",000,False,000,False,False,False,1,38
"### | [ص: 199]
",000,False,000,False,False,False,1,17
"### | [7] باب في اجتناب من لا يحسن الطب وتضمين الطبيب إذا جنى
",000,False,000,False,False,False,1,24
"### | 51- 
",000,False,000,False,False,False,1,52
"### | [8] باب النهي، عن التداوي بالحرام
",000,False,000,False,False,False,1,12
"### | 52- 
",000,False,000,False,False,False,1,52
"### | [ص: 200]
",000,False,000,False,False,False,1,23
"### | 53- 
",000,False,000,False,False,False,1,47
"### | 54- 
",000,False,000,False,False,False,1,45
"### | 55- 
",000,False,000,False,False,False,1,33
