string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO المقد مة
",000,False,000,False,False,False,1,471
"### | AUTO الباب الأول : الإرسال
",000,False,000,False,False,False,1,6150
"### || AUTO الفصل الأول
",000,False,000,False,False,False,2,3548
"### ||| AUTO أولا: مذهب الزيدية
",000,False,000,False,False,False,3,2551
"### || AUTO الفصل الثاني
",000,False,000,False,False,False,2,1306
"### | AUTO الباب الثاني في: الضم
",000,False,000,False,False,False,1,10846
"### || AUTO الفصل الأول
",000,False,000,False,False,False,2,939
"### | AUTO الباب الثالث في: نتيجة البحث في المسألة
",000,False,000,False,False,False,1,2451
"### || AUTO الجمع بأن كلا من الضم والإرسال مشروع
",000,False,000,False,False,False,2,115
"### || AUTO الجمع بأن في الأدلة ما هو ناسخ وما هو منسوخ
",000,False,000,False,False,False,2,283
"### || AUTO الجمع بأن المراد الوضع تحت السرة
",000,False,000,False,False,False,2,294
"### || AUTO الجمع باختلاف موضع اليد على اليد
",000,False,000,False,False,False,2,144
"### || AUTO الجمع بأن الضم في الصلاة خاص بالأنبياء
",000,False,000,False,False,False,2,72
"### | AUTO قائمة المراجع
",000,False,000,False,False,False,1,1736
"### | AUTO فهرس المواضيع
",000,False,000,False,False,False,1,2824
