string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [مقدمة الكتاب]
",000,False,000,False,False,False,1,4
"### | 1 - 
",000,False,000,False,False,False,1,12
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,196
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,371
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,329
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,302
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,330
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,63
"### | 1 -
",000,False,000,False,False,False,1,292
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,305
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,15
"### | 1 -
",000,False,000,False,False,False,1,328
"### | [غمز ms0009 عيون البصائر]
",000,False,000,False,False,False,1,357
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,281
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,246
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,338
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,236
"### | 17 - 
",000,False,000,False,False,False,1,7
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,289
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,238
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,262
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,233
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,303
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,270
"### | 36 - 
",000,False,000,False,False,False,1,15
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,322
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,296
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,290
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,235
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,241
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,346
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,320
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,221
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,324
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,207
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,223
"### | 71 - 
",000,False,000,False,False,False,1,7
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,276
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,213
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,254
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,204
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,218
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,248
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,239
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,278
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,281
"### | [غمز عيون البصائر]
",000,False,000,False,False,False,1,279
