string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | بسم الله الرحمن الرحيم
",000,False,000,False,False,False,1,92
"### | الفصل الأول
",000,False,000,False,False,False,1,4
"### | في قوله تعالى هو الأول والآخر
",000,False,000,False,False,False,1,167
"### | الفصل الثاني
",000,False,000,False,False,False,1,345
"### | ؟ الفصل؟ الثالث
",000,False,000,False,False,False,1,514
"### | الفصل الرابع
",000,False,000,False,False,False,1,4
"### | في صفة الربيع
",000,False,000,False,False,False,1,293
"### | الفصل الخامس
",000,False,000,False,False,False,1,4
"### | يذكر فيه إشارة من حال سلمان الفارسي
",000,False,000,False,False,False,1,199
"### | قرينان مرتعنا واحد
",000,False,000,False,False,False,1,311
"### | الفصل السادس
",000,False,000,False,False,False,1,4
"### | تتجافى جنوبهم عن المضاجع
",000,False,000,False,False,False,1,500
"### | الفصل السابع
",000,False,000,False,False,False,1,4
"### | التوبة
",000,False,000,False,False,False,1,295
"### | الفصل الثامن
",000,False,000,False,False,False,1,4
"### | مجاهدة النفس
",000,False,000,False,False,False,1,322
"### | الفصل التاسع
",000,False,000,False,False,False,1,4
"### | ذم الدنيا
",000,False,000,False,False,False,1,432
"### | الفصل العاشر
",000,False,000,False,False,False,1,4
"### | العمل للآخرة
",000,False,000,False,False,False,1,240
"### | الفصل الحادي عشر
",000,False,000,False,False,False,1,6
"### | الخوف من الله تعالى
",000,False,000,False,False,False,1,287
"### | الفصل الثاني عشر
",000,False,000,False,False,False,1,6
"### | ذو البجادين
",000,False,000,False,False,False,1,269
"### | الفصل الثالث عشر
",000,False,000,False,False,False,1,6
"### | الغفلة عن الآخرة
",000,False,000,False,False,False,1,253
"### | الفصل الرابع عشر
",000,False,000,False,False,False,1,6
"### | مداواة النفس
",000,False,000,False,False,False,1,337
"### | الفصل الخامس عشر
",000,False,000,False,False,False,1,6
"### | الإخلاص
",000,False,000,False,False,False,1,377
"### | الفصل السادس عشر
",000,False,000,False,False,False,1,6
"### | الإقبال على الله تعالى
",000,False,000,False,False,False,1,300
"### | الفصل السابع عشر
",000,False,000,False,False,False,1,308
"### | الفصل الثامن عشر
",000,False,000,False,False,False,1,6
"### | أعمال الملائكة
",000,False,000,False,False,False,1,263
"### | الفصل التاسع عشر
",000,False,000,False,False,False,1,6
"### | عزيمة الرجال
",000,False,000,False,False,False,1,304
"### | الفصل العشرون
",000,False,000,False,False,False,1,4
"### | الظلام والتيه
",000,False,000,False,False,False,1,279
"### | الفصل الحادي والعشرون
",000,False,000,False,False,False,1,6
"### | الإنتصار على الهوى
",000,False,000,False,False,False,1,280
"### | الفصل الثاني والعشرون
",000,False,000,False,False,False,1,6
"### | دموع المذنبين
",000,False,000,False,False,False,1,253
"### | الفصل الثالث والعشرون
",000,False,000,False,False,False,1,6
"### | في ترك الشهوات
",000,False,000,False,False,False,1,315
"### | الفصل الرابع والعشرون
",000,False,000,False,False,False,1,6
"### | إياك والذنوب
",000,False,000,False,False,False,1,628
"### | الفصل السادس والعشرون
",000,False,000,False,False,False,1,6
"### | طلب العلم
",000,False,000,False,False,False,1,270
"### | الفصل السابع والعشرون
",000,False,000,False,False,False,1,6
"### | الدنيا لا ms29 تصلح للتوطن
",000,False,000,False,False,False,1,348
