string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | 1- 
",000,False,000,False,False,False,1,221
"### | 2- 
",000,False,000,False,False,False,1,473
"### | باب ما جاء من الأمثال
",000,False,000,False,False,False,1,10
"### | أوله ألف على مذهب الكتاب، أو همزة على مذهب النحويين
",000,False,000,False,False,False,1,20
"### | ما جاء منها على أفعل مع الباء
",000,False,000,False,False,False,1,209
"### | مع التاء
",000,False,000,False,False,False,1,20
"### | مع الثاء
",000,False,000,False,False,False,1,34
"### | مع الجيم
",000,False,000,False,False,False,1,136
"### | مع الحاء
",000,False,000,False,False,False,1,436
"### | مع الخاء
",000,False,000,False,False,False,1,169
"### | مع الدال
",000,False,000,False,False,False,1,28
"### | مع الذال
",000,False,000,False,False,False,1,62
"### | مع الراء
",000,False,000,False,False,False,1,56
"### | مع الزاي
",000,False,000,False,False,False,1,71
"### | مع السين
",000,False,000,False,False,False,1,194
"### | مع الشين
",000,False,000,False,False,False,1,227
"### | مع الصاد
",000,False,000,False,False,False,1,135
"### | مع الضاد
",000,False,000,False,False,False,1,75
"### | مع الطاء
",000,False,000,False,False,False,1,67
"### | مع الظاء
",000,False,000,False,False,False,1,48
"### | مع العين
",000,False,000,False,False,False,1,181
"### | مع الغين
",000,False,000,False,False,False,1,31
"### | مع الفاء
",000,False,000,False,False,False,1,59
"### | مع القاف
",000,False,000,False,False,False,1,50
"### | مع الكاف
",000,False,000,False,False,False,1,167
"### | مع اللام
",000,False,000,False,False,False,1,46
"### | مع الميم
",000,False,000,False,False,False,1,85
"### | مع النون
",000,False,000,False,False,False,1,80
"### | مع الواو
",000,False,000,False,False,False,1,43
"### | مع الهاء
",000,False,000,False,False,False,1,25
"### | فصل آخر
",000,False,000,False,False,False,1,71
"### | مازيد فيه
",000,False,000,False,False,False,1,112
"### | باب ما جاء على لفظ الأمر
",000,False,000,False,False,False,1,214
"### | باب آخر من الأمر
",000,False,000,False,False,False,1,447
"### | .... 
",000,False,000,False,False,False,1,0
"### | .... 
",000,False,000,False,False,False,1,0
"### | .... 
",000,False,000,False,False,False,1,121
"### | باب ما جاء على لفظ الاستفهام
",000,False,000,False,False,False,1,314
"### | باب ما أوله إن
",000,False,000,False,False,False,1,441
"### | باب أن
",000,False,000,False,False,False,1,54
"### | باب إن خفيفة
",000,False,000,False,False,False,1,232
"### | باب ما جاء على لفظ الماضي
",000,False,000,False,False,False,1,847
"### | 
",000,False,000,False,False,False,1,0
"### | باب
",000,False,000,False,False,False,1,192
"### | 
",000,False,000,False,False,False,1,0
"### | باب
",000,False,000,False,False,False,1,133
"### | 
",000,False,000,False,False,False,1,0
"### | باب
",000,False,000,False,False,False,1,88
"### | باب
",000,False,000,False,False,False,1,128
"### | 
",000,False,000,False,False,False,1,0
"### | فصل
",000,False,000,False,False,False,1,43
"### | باب
",000,False,000,False,False,False,1,37
"### | فصل
",000,False,000,False,False,False,1,103
"### | 
",000,False,000,False,False,False,1,0
"### | باب
",000,False,000,False,False,False,1,87
"### | 
",000,False,000,False,False,False,1,0
"### | باب
",000,False,000,False,False,False,1,41
"### | باب
",000,False,000,False,False,False,1,262
"### | باب ما جاء بالألف واللام
",000,False,000,False,False,False,1,203
"### | 
",000,False,000,False,False,False,1,0
"### | فصل
",000,False,000,False,False,False,1,254
"### | فصل
",000,False,000,False,False,False,1,339
"### | 
",000,False,000,False,False,False,1,0
"### | وفصل منه ms027
",000,False,000,False,False,False,1,724
"### | وفصل منه
",000,False,000,False,False,False,1,55
"### | باب ما جاء على حرف الباء
",000,False,000,False,False,False,1,97
"### | 
",000,False,000,False,False,False,1,0
"### | وفصل منه
",000,False,000,False,False,False,1,180
"### | 
",000,False,000,False,False,False,1,0
"### | وفصل منه
",000,False,000,False,False,False,1,200
"### | و
",000,False,000,False,False,False,1,2
"### | فصل
",000,False,000,False,False,False,1,78
"### | فصل
",000,False,000,False,False,False,1,37
"### | باب ما جاء على حرف التاء
",000,False,000,False,False,False,1,93
"### | 
",000,False,000,False,False,False,1,0
"### | و
",000,False,000,False,False,False,1,2
"### | فصل منه
",000,False,000,False,False,False,1,165
"### | فصل منه
",000,False,000,False,False,False,1,134
"### | باب ما جاء على حرف الثاء
",000,False,000,False,False,False,1,80
"### | باب ما جاء على حروف الجيم
",000,False,000,False,False,False,1,243
"### | وفصل منه
",000,False,000,False,False,False,1,108
"### | ............ 
",000,False,000,False,False,False,1,93
"### | باب ما جاء على حرف الحاء
",000,False,000,False,False,False,1,151
"### | و
",000,False,000,False,False,False,1,2
