string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | AUTO مسألة [1]
",000,False,000,False,False,False,1,548
"### | AUTO مسألة [3]
",000,False,000,False,False,False,1,259
"### | AUTO مسألة [4]
",000,False,000,False,False,False,1,772
"### | AUTO مسألة [5]
",000,False,000,False,False,False,1,292
"### | AUTO مسألة [6]
",000,False,000,False,False,False,1,251
"### | AUTO مسألة [7]
",000,False,000,False,False,False,1,503
"### | AUTO مسألة [8]
",000,False,000,False,False,False,1,399
"### | AUTO مسألة [9]
",000,False,000,False,False,False,1,1020
"### | AUTO مسألة [10]
",000,False,000,False,False,False,1,364
"### | AUTO مسألة [11]
",000,False,000,False,False,False,1,560
"### | AUTO مسألة [12]
",000,False,000,False,False,False,1,833
"### | AUTO مسألة [13]
",000,False,000,False,False,False,1,173
"### | AUTO مسألة [14]
",000,False,000,False,False,False,1,493
"### | AUTO مسألة [15]
",000,False,000,False,False,False,1,410
"### | AUTO مسألة [16]
",000,False,000,False,False,False,1,363
"### | AUTO مسألة [17]
",000,False,000,False,False,False,1,458
"### | AUTO مسألة [18]
",000,False,000,False,False,False,1,67
"### | AUTO مسألة [19]
",000,False,000,False,False,False,1,169
"### | AUTO مسألة [20]
",000,False,000,False,False,False,1,447
"### | AUTO مسألة [21]
",000,False,000,False,False,False,1,90
"### | AUTO مسألة [22]
",000,False,000,False,False,False,1,278
"### | AUTO مسألة [23]
",000,False,000,False,False,False,1,397
"### | AUTO مسألة [24]
",000,False,000,False,False,False,1,277
"### | AUTO مسألة [25]
",000,False,000,False,False,False,1,518
"### | AUTO مسألة [26]
",000,False,000,False,False,False,1,306
"### | AUTO مسألة [27]
",000,False,000,False,False,False,1,615
"### | AUTO مسألة [28]
",000,False,000,False,False,False,1,317
"### | AUTO مسألة [29]
",000,False,000,False,False,False,1,612
"### | AUTO مسألة [30]
",000,False,000,False,False,False,1,226
"### | AUTO مسألة [31]
",000,False,000,False,False,False,1,188
"### | AUTO مسألة [32]
",000,False,000,False,False,False,1,185
"### | AUTO مسألة [33]
",000,False,000,False,False,False,1,419
"### | AUTO مسألة [34]
",000,False,000,False,False,False,1,365
"### | AUTO مسألة [35]
",000,False,000,False,False,False,1,281
"### | AUTO مسألة [36]
",000,False,000,False,False,False,1,223
"### | AUTO مسألة [37]
",000,False,000,False,False,False,1,454
"### | AUTO مسألة [38]
",000,False,000,False,False,False,1,548
"### | AUTO مسألة [39]
",000,False,000,False,False,False,1,408
"### | AUTO مسألة [40]
",000,False,000,False,False,False,1,5433
"### | AUTO مسألة [56]
",000,False,000,False,False,False,1,610
"### | AUTO مسألة [57]
",000,False,000,False,False,False,1,25340
"### | AUTO مسألة [127]
",000,False,000,False,False,False,1,367
"### | AUTO مسألة [128]
",000,False,000,False,False,False,1,256
"### | AUTO مسألة [129]
",000,False,000,False,False,False,1,488
"### | AUTO مسألة [130]
",000,False,000,False,False,False,1,188
"### | AUTO مسألة [131]
",000,False,000,False,False,False,1,95
"### | AUTO مسألة [132]
",000,False,000,False,False,False,1,355
"### | AUTO مسألة [133]
",000,False,000,False,False,False,1,142
