string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | [1] ما جاء في العسل
",000,False,000,False,False,False,1,10
"### | 1- 
",000,False,000,False,False,False,1,50
"### | [ص: 102]
",000,False,000,False,False,False,1,39
"### | 2- 
",000,False,000,False,False,False,1,67
"### | 3- 
",000,False,000,False,False,False,1,32
"### | 4- 
",000,False,000,False,False,False,1,55
"### | [ص: 105]
",000,False,000,False,False,False,1,16
"### | 5- 
",000,False,000,False,False,False,1,64
"### | 6- 
",000,False,000,False,False,False,1,66
"### | [ص: 107]
",000,False,000,False,False,False,1,17
"### | [2] ما جاء في الطيب والحلواء
",000,False,000,False,False,False,1,12
"### | 7- 
",000,False,000,False,False,False,1,50
"### | [ص: 108]
",000,False,000,False,False,False,1,45
"### | 8- 
",000,False,000,False,False,False,1,29
"### | [ص: 110]
",000,False,000,False,False,False,1,28
"### | [ص: 111]
",000,False,000,False,False,False,1,50
"### | 9- 
",000,False,000,False,False,False,1,56
"### | [ص: 112]
",000,False,000,False,False,False,1,35
"### | 10- 
",000,False,000,False,False,False,1,50
"### | [ص: 114]
",000,False,000,False,False,False,1,31
"### | [3] ما جاء في اللحم
",000,False,000,False,False,False,1,10
"### | 11- 
",000,False,000,False,False,False,1,67
"### | [ص: 116]
",000,False,000,False,False,False,1,24
"### | 12- 
",000,False,000,False,False,False,1,23
"### | [ص: 118]
",000,False,000,False,False,False,1,39
"### | [ص: 119]
",000,False,000,False,False,False,1,24
"### | 13- 
",000,False,000,False,False,False,1,41
"### | [ص: 120]
",000,False,000,False,False,False,1,42
"### | 14- 
",000,False,000,False,False,False,1,45
"### | [ص: 122]
",000,False,000,False,False,False,1,17
"### | 15- 
",000,False,000,False,False,False,1,23
"### | [ص: 123]
",000,False,000,False,False,False,1,23
"### | 16- 
",000,False,000,False,False,False,1,38
"### | [ص: 124]
",000,False,000,False,False,False,1,55
"### | 17- 
",000,False,000,False,False,False,1,41
"### | [ص: 125]
",000,False,000,False,False,False,1,27
"### | [4] ما جاء في الثمر
",000,False,000,False,False,False,1,10
"### | 18- 
",000,False,000,False,False,False,1,55
"### | [ص: 126]
",000,False,000,False,False,False,1,34
"### | 19- 
",000,False,000,False,False,False,1,41
"### | [ص: 127]
",000,False,000,False,False,False,1,83
"### | [ص: 128]
",000,False,000,False,False,False,1,9
"### | [5] ما جاء في النخلة
",000,False,000,False,False,False,1,10
"### | 20- 
",000,False,000,False,False,False,1,53
"### | [ص: 131]
",000,False,000,False,False,False,1,28
"### | [6] ما جاء في الخبز
",000,False,000,False,False,False,1,10
"### | 21- 
",000,False,000,False,False,False,1,65
"### | [ص: 133]
",000,False,000,False,False,False,1,12
"### | 22- 
",000,False,000,False,False,False,1,73
"### | [7] ما جاء في العجين
",000,False,000,False,False,False,1,10
"### | 23- 
",000,False,000,False,False,False,1,25
"### | [ص: 136]
",000,False,000,False,False,False,1,28
"### | [ص: 137]
",000,False,000,False,False,False,1,42
"### | [8] ما جاء في الهريسة
",000,False,000,False,False,False,1,10
"### | 24- 
",000,False,000,False,False,False,1,68
"### | [ص: 139]
",000,False,000,False,False,False,1,41
"### | [9] ما جاء في السميذ
",000,False,000,False,False,False,1,10
"### | 25- 
",000,False,000,False,False,False,1,43
"### | [ص: 140]
",000,False,000,False,False,False,1,45
"### | [10] ما جاء في البيض
",000,False,000,False,False,False,1,10
"### | 26- 
",000,False,000,False,False,False,1,36
"### | [ص: 142]
",000,False,000,False,False,False,1,47
"### | [11] ما جاء في الزيت
",000,False,000,False,False,False,1,10
"### | 27- 
",000,False,000,False,False,False,1,36
"### | [ص: 144]
",000,False,000,False,False,False,1,28
"### | [ص: 145]
",000,False,000,False,False,False,1,28
"### | [12] ما جاء في اللبن
",000,False,000,False,False,False,1,10
"### | 28- 
",000,False,000,False,False,False,1,76
"### | [ص: 147]
",000,False,000,False,False,False,1,14
"### | [13] ما جاء في ألبان البقر
",000,False,000,False,False,False,1,12
"### | 29- 
",000,False,000,False,False,False,1,39
"### | [ص: 148]
",000,False,000,False,False,False,1,41
"### | [ص: 149]
",000,False,000,False,False,False,1,10
"### | 30- 
",000,False,000,False,False,False,1,27
"### | [ص: 151]
",000,False,000,False,False,False,1,30
"### | [ص: 152]
",000,False,000,False,False,False,1,53
"### | [14] ما جاء في الثريد
",000,False,000,False,False,False,1,10
"### | 31- 
",000,False,000,False,False,False,1,46
"### | [ص: 154]
",000,False,000,False,False,False,1,18
"### | 32- 
",000,False,000,False,False,False,1,53
"### | [15] ما جاء في القديد
",000,False,000,False,False,False,1,10
"### | 33- 
",000,False,000,False,False,False,1,99
"### | [16] ما جاء في الشواء
",000,False,000,False,False,False,1,10
"### | 34- 
",000,False,000,False,False,False,1,58
"### | [ص: 160]
",000,False,000,False,False,False,1,26
"### | [17] ما جاء في التلبينة
",000,False,000,False,False,False,1,10
"### | 35- 
",000,False,000,False,False,False,1,78
"### | 36- 
",000,False,000,False,False,False,1,41
"### | [ص: 168]
",000,False,000,False,False,False,1,83
"### | [19] ما جاء في الأترنج
",000,False,000,False,False,False,1,10
"### | 37- 
",000,False,000,False,False,False,1,27
"### | [ص: 169]
",000,False,000,False,False,False,1,63
"### | [ص: 170]
",000,False,000,False,False,False,1,12
"### | 38- 
",000,False,000,False,False,False,1,39
"### | [ص: 171]
",000,False,000,False,False,False,1,35
"### | [20] ما جاء في الأرز
",000,False,000,False,False,False,1,10
"### | 39- 
",000,False,000,False,False,False,1,74
"### | [ص: 173]
",000,False,000,False,False,False,1,6
"### | [21] ما جاء في الملح
",000,False,000,False,False,False,1,10
"### | 40- 
",000,False,000,False,False,False,1,46
"### | [ص: 174]
",000,False,000,False,False,False,1,25
"### | [22] ما جاء في العصيدة
",000,False,000,False,False,False,1,10
"### | 41- 
",000,False,000,False,False,False,1,72
"### | [ص: 176]
",000,False,000,False,False,False,1,12
"### | [23] ما جاء في العدس
",000,False,000,False,False,False,1,10
"### | 42- 
",000,False,000,False,False,False,1,60
"### | [ص: 177]
",000,False,000,False,False,False,1,78
"### | 43- 
",000,False,000,False,False,False,1,55
"### | [24] ما جاء في الفول
",000,False,000,False,False,False,1,10
"### | 44- 
",000,False,000,False,False,False,1,66
