string,date,year_type,date_2,year_type_2,predicted_year,years_pre,md_level,section word count
"### | (المسألة الأولى وهي لغوية)
",000,False,000,False,False,False,1,1864
"### | (مسألة خلقية 
",000,False,000,False,False,False,1,776
"### | (مسألة مركبة من أسرار طبيعية وحروف لغوية)
",000,False,000,False,False,False,1,859
"### | (مسألة اختيارية
",000,False,000,False,False,False,1,1664
"### | مسألة اختيارية 
",000,False,000,False,False,False,1,610
"### | (مسألة طبيعية 
",000,False,000,False,False,False,1,500
"### | (مسألة مسألة خلقية 
",000,False,000,False,False,False,1,210
"### | (مسألة 
",000,False,000,False,False,False,1,445
"### | (مسألة طبيعية 
",000,False,000,False,False,False,1,128
"### | (مسألة طبيعية 
",000,False,000,False,False,False,1,83
"### | (مسألة اختيارية 
",000,False,000,False,False,False,1,213
"### | (مسألة طبيعية
",000,False,000,False,False,False,1,207
"### | (مسألة اختيارية
",000,False,000,False,False,False,1,374
"### | مسألة خلقية 
",000,False,000,False,False,False,1,367
"### | (مسألة طبيعية واختيارية 
",000,False,000,False,False,False,1,361
"### | (مسألة طبيعية 
",000,False,000,False,False,False,1,1114
"### | مسألة اختيارية
",000,False,000,False,False,False,1,171
"### | (مسألة طبيعية 
",000,False,000,False,False,False,1,443
"### | مسألة طبيعية واختيارية 
",000,False,000,False,False,False,1,436
"### | مسألة اختيارية 
",000,False,000,False,False,False,1,304
"### | (مسألة طبيعية خلقية 
",000,False,000,False,False,False,1,194
"### | (مسألة طبيعية خلقية 
",000,False,000,False,False,False,1,150
"### | (مسألة خلقية 
",000,False,000,False,False,False,1,474
"### | (مسألة طبيعية خلقية 
",000,False,000,False,False,False,1,564
"### | 
",000,False,000,False,False,False,1,246
"### | (مسألة طبيعية 
",000,False,000,False,False,False,1,118
"### | (مسألة خلقية
",000,False,000,False,False,False,1,270
"### | (مسألة طبيعية 
",000,False,000,False,False,False,1,667
"### | (مسألة في حد الظلم)
",000,False,000,False,False,False,1,729
"### | (مسألة زجرية ولغوية
",000,False,000,False,False,False,1,249
"### | (مسألة خلقية 
",000,False,000,False,False,False,1,259
"### | (مسألة طبيعية 
",000,False,000,False,False,False,1,170
"### | مسألة نفسانية 
",000,False,000,False,False,False,1,322
"### | (مسألة تشتمل على نيف وعشرين مسألة طبيعية ولغوية 
",000,False,000,False,False,False,1,2215
"### | (مسألة 
",000,False,000,False,False,False,1,444
"### | (مسألة 
",000,False,000,False,False,False,1,264
"### | مسألة طبية 
",000,False,000,False,False,False,1,342
"### | (مسألة 
",000,False,000,False,False,False,1,199
"### | (مسألة
",000,False,000,False,False,False,1,123
"### | (مسألة خلقية
",000,False,000,False,False,False,1,96
"### | (مسألة إرادية 
",000,False,000,False,False,False,1,137
"### | (مسألة إرادية وخلقية ولغوية 
",000,False,000,False,False,False,1,443
"### | (مسألة إرادية وخلقية 
",000,False,000,False,False,False,1,145
"### | (مسألة في مبادىء العادات 
",000,False,000,False,False,False,1,94
"### | (مسألة طبيعية
",000,False,000,False,False,False,1,338
"### | (مسألة إرادية
",000,False,000,False,False,False,1,129
"### | (مسألة في الرؤيا
",000,False,000,False,False,False,1,368
"### | (مسألة 
",000,False,000,False,False,False,1,450
"### | (مسألة إرادية وخلقية 
",000,False,000,False,False,False,1,718
"### | مسألة
",000,False,000,False,False,False,1,956
"### | (مسألة 
",000,False,000,False,False,False,1,169
"### | (مسألة
",000,False,000,False,False,False,1,668
"### | مسألة 
",000,False,000,False,False,False,1,227
"### | (مسألة
",000,False,000,False,False,False,1,369
"### | مسألة 
",000,False,000,False,False,False,1,420
"### | (مسألة 
",000,False,000,False,False,False,1,410
"### | (مسألة
",000,False,000,False,False,False,1,389
"### | مسألة 
",000,False,000,False,False,False,1,198
"### | (مسألة 
",000,False,000,False,False,False,1,504
"### | (مسألة 
",000,False,000,False,False,False,1,652
"### | مسألة 
",000,False,000,False,False,False,1,403
"### | (مسألة 
",000,False,000,False,False,False,1,438
"### | مسألة 
",000,False,000,False,False,False,1,1060
"### | مسألة 
",000,False,000,False,False,False,1,425
"### | (مسألة 
",000,False,000,False,False,False,1,254
"### | مسألة 
",000,False,000,False,False,False,1,316
"### | مسألة 
",000,False,000,False,False,False,1,225
"### | (مسألة 
",000,False,000,False,False,False,1,495
"### | مسألة
",000,False,000,False,False,False,1,41
"### | (مسألة 
",000,False,000,False,False,False,1,222
"### | مسألة 
",000,False,000,False,False,False,1,222
